Servicer,Occupancy,PoolID,Original LTV,LOANSKEY,Sales Price,Original Appraisal,Mortgage Insurance Coverage,Mortgage Insurance Company,Lender Paid Flag,FICO at Origination,Documentation,Self Employed Flag,Product Category,Purpose,Property,Units,Scheduled Balance,Original Balance,Zip,Pledge Balance,Origination Date,First Pay Day,Maturity Date,Cut off Date,Gross Current Coupon Rate,Servicing Fee Rate,,LPMI Fee Rate,abcde,City,Interest Only Flag,Balloon Flag,Jumbo Flag,Original IO Term,Original Term,Original Amortization Term,Original PNI Paypent,Current PNI Payment,Times 30 Days Delinquent in last 12 months,Times 60 Days Delinquent,Times 90 Days Delinquent,Prepay Flag/Term,Lien Position,Seller,Index,Initial Rate Adjustment Period,Subsequent Rate Adjustment Period,a dupe,Initial Payment Adjustmen Period,Subsequent Payment Adjustment Period,First Rate Adjustment Date,First Payment Adjustment Date,Initial Periodic Cap,Subsequent Periodic Cap,Life Cap,Margin,Max Rate,Months to Next Rate Adjustment,Months to Next Pay Adjustment,Servicing Step Up,Step up Servicing Rate
Innit Mortgage,Primary,3,80,799417,0,1250000,0,No Insurance,N,724,Full Documentation,N,10 Year ARM,Rate-Term Refinance,Planned unit developments,1,1000000,1000000,35406,0,1/29/07,3/1/07,2/1/37,5/1/07,6.5,0.25,0.0105,0,Alabama,TUSCALOOSA,Y,N,Jumbo,120,360,240,5416.67,"5,416.67",0,0,0,0,1st Lien,Caned,Libor - 1 Year,120,12,"5,416.67",121,12,2/1/17,3/1/17,5,2,5,2.25,11.5,117,118,N,0
Innit Mortgage,Primary,3,80,800066,574959.74,575000,0,No Insurance,N,797,Full Documentation,N,10 Year ARM,Purchase,Condo,1,459966.53,459967,90250,0,1/24/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,California,HAWTHORNE,Y,N,Jumbo,120,360,240,2251.92,"2,251.92",0,0,0,0,1st Lien,Caned,Libor - 1 Year,120,12,"2,251.92",121,12,2/1/17,3/1/17,5,2,5,2.25,10.88,117,118,N,0
Innit Mortgage,Primary,2,80,797914,562000,580000,0,No Insurance,N,758,Full Documentation,N,7 Year ARM,Purchase,Single Family Residence,1,449600,449600,30328,0,1/5/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Georgia,ATLANTA,Y,N,Jumbo,120,360,240,2248,"2,248.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,248.00",85,12,2/1/14,3/1/14,5,2,5,2.25,11,81,82,N,0
Innit Mortgage,Secondary,2,70,799337,770530,975000,0,No Insurance,N,771,No Income Verifier,N,7 Year ARM,Purchase,Planned unit developments,1,539350,539350,33913,0,1/16/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,Florida,FORT MYERS,Y,N,Jumbo,120,360,240,2640.57,"2,640.57",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,640.57",85,12,2/1/14,3/1/14,5,2,5,2.25,10.88,81,82,N,0
Innit Mortgage,Primary,3,80,773335,0,585000,0,No Insurance,N,709,Full Documentation,Y,10 Year ARM,Cash-out Refinance,Single Family Residence,1,468000,468000,98354,0,12/15/06,2/1/07,1/1/37,5/1/07,6.625,0.25,0.0105,0,Washington,MILTON,Y,N,Jumbo,120,360,240,2583.75,"2,583.75",0,0,0,0,1st Lien,Caned,Libor - 1 Year,120,12,"2,583.75",121,12,1/1/17,2/1/17,5,2,5,2.25,11.63,116,117,N,0
Innit Mortgage,Secondary,3,79.99,797187,855707,860000,0,No Insurance,N,782,Full Documentation,N,10 Year ARM,Purchase,Planned unit developments,1,684500,684500,34120,0,1/3/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,Florida,NAPLES,Y,N,Jumbo,120,360,240,3351.2,"3,351.20",0,0,0,0,1st Lien,Caned,Libor - 1 Year,120,12,"3,351.20",121,12,2/1/17,3/1/17,5,2,5,2.25,10.88,117,118,N,0
Innit Mortgage,Primary,2,74.99,795898,687984,800000,0,No Insurance,N,766,No Income Verifier,Y,7 Year ARM,Purchase,Planned unit developments,1,515950,515950,33913,0,12/14/06,2/1/07,1/1/37,5/1/07,5.75,0.25,0.0105,0,Florida,FORT MYERS,Y,N,Jumbo,120,360,240,2472.26,"2,472.26",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,472.26",85,12,1/1/14,2/1/14,5,2,5,2.25,10.75,80,81,N,0
Innit Mortgage,Primary,2,80,795925,564625.36,583000,0,No Insurance,N,700,Full Documentation,N,7 Year ARM,Purchase,Condo,1,451700,451700,90250,0,1/3/07,3/1/07,2/1/37,5/1/07,5.5,0.25,0.0105,0,California,HAWTHORNE,Y,N,Jumbo,120,360,240,2070.29,"2,070.29",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,070.29",85,12,2/1/14,3/1/14,5,2,5,2.25,10.5,81,82,N,0
Innit Mortgage,Primary,2,80,797182,715000,715000,0,No Insurance,N,792,Full Documentation,N,7 Year ARM,Purchase,Planned unit developments,1,572000,572000,80304,0,12/14/06,2/1/07,1/1/37,5/1/07,6.25,0.25,0.0105,0,Colorado,BOULDER,Y,N,Jumbo,120,360,240,2979.17,"2,979.17",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,979.17",85,12,1/1/14,2/1/14,5,2,5,2.25,11.25,80,81,N,0
Innit Mortgage,Primary,2,79.99,797911,898745,900000,0,No Insurance,N,795,Full Documentation,N,7 Year ARM,Purchase,Planned unit developments,1,718950,718950,85249,0,1/2/07,3/1/07,2/1/37,5/1/07,6.125,0.25,0.0105,0,Arizona,CHANDLER,Y,N,Jumbo,120,360,240,3669.64,"3,669.64",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"3,669.64",85,12,2/1/14,3/1/14,5,2,5,2.25,11.13,81,82,N,0
Innit Mortgage,Primary,2,71.83,797916,0,630000,0,No Insurance,N,786,Full Documentation,N,7 Year ARM,Rate-Term Refinance,Planned unit developments,1,452500,452500,80129,0,12/22/06,2/1/07,1/1/37,5/1/07,6.375,0.25,0.0105,0,Colorado,HIGHLANDS RANCH,Y,N,Jumbo,120,360,240,2403.91,"2,403.91",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,403.91",85,12,1/1/14,2/1/14,5,2,5,2.25,11.38,80,81,N,0
Innit Mortgage,Primary,2,80,797919,0,540000,0,No Insurance,N,755,Full Documentation,N,7 Year ARM,Rate-Term Refinance,Single Family Residence,1,431996.23,432000,92570,0,1/10/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,California,PERRIS,Y,N,Jumbo,120,360,240,2115,"2,114.96",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,114.96",85,12,2/1/14,3/1/14,5,2,5,2.25,10.88,81,82,N,0
Innit Mortgage,Primary,2,79.99,799334,638999,641000,0,No Insurance,N,738,Full Documentation,N,7 Year ARM,Purchase,Planned unit developments,1,511150,511150,85249,0,1/5/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Arizona,CHANDLER,Y,N,Jumbo,120,360,240,2555.75,"2,555.75",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,555.75",85,12,2/1/14,3/1/14,5,2,5,2.25,11,81,82,N,0
Innit Mortgage,Primary,2,50.01,800060,999890,1000000,0,No Insurance,N,717,Full Documentation,N,7 Year ARM,Purchase,Single Family Residence,1,500000,500000,8831,0,1/26/07,3/1/07,2/1/37,5/1/07,6.5,0.25,0.0105,0,New Jersey,MONROE,Y,N,Jumbo,120,360,240,2708.33,"2,708.33",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,708.33",85,12,2/1/14,3/1/14,5,2,5,2.25,11.5,81,82,N,0
Innit Mortgage,Primary,2,80,800063,569950,570000,0,No Insurance,N,798,Full Documentation,N,7 Year ARM,Purchase,Single Family Residence,1,455960,455960,98021,0,1/25/07,3/1/07,2/1/37,5/1/07,6.25,0.25,0.0105,0,Washington,BOTHELL,Y,N,Jumbo,120,360,240,2374.79,"2,374.79",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,374.79",85,12,2/1/14,3/1/14,5,2,5,2.25,11.25,81,82,N,0
Innit Mortgage,Primary,2,78.88,800074,575561,576000,0,No Insurance,N,702,Full Documentation,N,7 Year ARM,Purchase,Single Family Residence,1,453983,453983,92223,0,1/16/07,3/1/07,2/1/37,5/1/07,6.25,0.25,0.0105,0,California,BEAUMONT,Y,N,Jumbo,120,360,240,2364.49,"2,364.49",0,0,0,0,1st Lien,Caned,Libor - 1 Year,84,12,"2,364.49",85,12,2/1/14,3/1/14,5,2,5,2.25,11.25,81,82,N,0
Innit Mortgage,Primary,1,80,803700,652000,666000,0,No Insurance,N,737,Full Documentation,N,5 Year ARM,Purchase,Condo,1,521600,521600,94582,0,2/1/07,4/1/07,3/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,Y,N,Jumbo,120,360,240,1684.33,"1,684.33",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,684.33",61,12,3/1/12,4/1/12,5,2,5,2.25,8.88,58,59,N,0
Innit Mortgage,Primary,1,70.93,803711,0,750000,0,No Insurance,N,676,Full Documentation,N,5 Year ARM,Rate-Term Refinance,Single Family Residence,1,532000,532000,80020,0,2/2/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,Colorado,BROOMFIELD,Y,N,Jumbo,120,360,240,2604.58,"2,604.39",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,604.39",61,12,2/1/12,3/1/12,5,2,5,2.25,10.88,57,58,N,0
Innit Mortgage,Secondary,1,80,809148,580000,584000,0,No Insurance,N,704,Full Documentation,Y,5 Year ARM,Purchase,Single Family Residence,1,464000,464000,92315,0,2/7/07,4/1/07,3/1/37,5/1/07,6.5,0.25,0.0105,0,California,BIG BEAR LAKE,Y,N,Jumbo,120,360,240,2513.33,"2,513.33",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,513.33",61,12,3/1/12,4/1/12,5,2,5,2.25,11.5,58,59,N,0
Innit Mortgage,Primary,1,80,809154,537990,538000,0,No Insurance,N,794,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,429925.96,430392,98272,0,2/13/07,4/1/07,3/1/37,5/1/07,3.375,0.25,0.0105,0,Washington,MONROE,Y,N,Jumbo,120,360,240,1210.48,"1,209.17",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,209.17",61,12,3/1/12,4/1/12,5,2,5,2.25,8.38,58,59,N,0
Innit Mortgage,Primary,1,80,809159,593610,593610,0,No Insurance,N,728,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,474828.47,474888,95355,0,2/8/07,4/1/07,3/1/37,5/1/07,3.875,0.25,0.0105,0,California,MODESTO,Y,N,Jumbo,120,360,240,1533.49,"1,533.11",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,533.11",61,12,3/1/12,4/1/12,5,2,5,2.25,8.88,58,59,N,0
Innit Mortgage,Primary,1,74.99,809175,1063050,1078000,0,No Insurance,N,671,No Income Verifier,N,5 Year ARM,Purchase,Single Family Residence,1,797048.5,797200,94582,0,2/12/07,4/1/07,3/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,Y,N,Jumbo,120,360,240,2574.29,"2,573.80",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,573.80",61,12,3/1/12,4/1/12,5,2,5,2.25,8.88,58,59,N,0
Innit Mortgage,Primary,1,80,809183,699490,745000,0,No Insurance,N,731,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,559592,559592,33908,0,2/9/07,4/1/07,3/1/37,5/1/07,3.875,0.25,0.0105,0,Florida,FT.MYERS,Y,N,Jumbo,120,360,240,1807.02,"1,807.02",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,807.02",61,12,3/1/12,4/1/12,5,2,5,2.25,8.88,58,59,N,0
Innit Mortgage,Primary,1,80,797884,682500,703000,0,No Insurance,N,766,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,546000,546000,37064,0,1/25/07,3/1/07,2/1/37,5/1/07,5.625,0.25,0.0105,0,Tennessee,FRANKLIN,Y,N,Jumbo,120,360,240,2559.38,"2,559.37",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,559.37",61,12,2/1/12,3/1/12,5,2,5,2.25,10.63,57,58,N,0
Innit Mortgage,Primary,1,79.99,797887,613605,620000,0,No Insurance,N,778,Full Documentation,N,5 Year ARM,Purchase,Condo,1,489259.84,490850,94582,0,1/9/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,Y,N,Jumbo,120,360,240,1585.04,"1,579.90",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,579.90",61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
Innit Mortgage,Primary,1,80,797895,605216,620000,0,No Insurance,N,695,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,484150,484150,95355,0,1/23/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,MODESTO,Y,N,Jumbo,120,360,240,1563.4,"1,563.40",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,563.40",61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
Innit Mortgage,Primary,1,79,797898,1265800,1265800,0,No Insurance,N,693,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,1000000,1000000,94582,0,1/19/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,Y,N,Jumbo,120,360,240,3229.17,"3,229.17",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,229.17",61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
Innit Mortgage,Primary,1,80,797924,1240376,1244000,0,No Insurance,N,790,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,992300,992300,94583,0,1/12/07,3/1/07,2/1/37,5/1/07,3.875,0.25,0.0105,0,California,SAN RAMON,Y,N,Jumbo,120,360,240,3204.3,"3,204.30",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,204.30",61,12,2/1/12,3/1/12,5,2,5,2.25,8.88,57,58,N,0
Innit Mortgage,Primary,1,62.5,799342,0,3200000,0,No Insurance,N,754,Full Documentation,Y,5 Year ARM,Rate-Term Refinance,Planned unit developments,1,2000000,2000000,98112,0,1/26/07,3/1/07,2/1/37,5/1/07,6.5,0.25,0.0105,0,Washington,SEATTLE,Y,N,Jumbo,120,360,240,10833.33,"10,833.33",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"10,833.33",61,12,2/1/12,3/1/12,5,2,5,2.25,11.5,57,58,N,0
Innit Mortgage,Primary,1,80,800058,581933,582000,0,No Insurance,N,802,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,465546,465546,20147,0,1/26/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Virginia,ASHBURN,Y,N,Jumbo,120,360,240,2327.73,"2,327.73",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,327.73",61,12,2/1/12,3/1/12,5,2,5,2.25,11,57,58,N,0
Innit Mortgage,Secondary,1,80,773338,635000,710000,0,No Insurance,N,770,Full Documentation,Y,5 Year ARM,Purchase,Planned unit developments,1,508000,508000,21811,0,12/22/06,2/1/07,1/1/37,5/1/07,5.25,0.25,0.0105,0,Maryland,BERLIN,Y,N,Jumbo,120,360,240,2222.5,"2,222.50",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,222.50",61,12,1/1/12,2/1/12,5,2,5,2.25,10.25,56,57,N,0
Innit Mortgage,Primary,1,80,781437,585899,587000,0,No Insurance,N,708,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,468719,468719,98272,0,1/14/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,MONROE,Y,N,Jumbo,120,360,240,1708.87,"1,708.87",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,708.87",61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
Innit Mortgage,Primary,1,80,795909,561831,562000,0,No Insurance,N,801,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,449464,449464,98038,0,1/2/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,MAPLE VALLEY,Y,N,Jumbo,120,360,240,1638.67,"1,638.67",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,638.67",61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
Innit Mortgage,Secondary,1,80,795928,682205,690000,0,No Insurance,N,747,Full Documentation,Y,5 Year ARM,Purchase,Planned unit developments,1,545764,545764,21811,0,1/11/07,3/1/07,2/1/37,5/1/07,5.25,0.25,0.0105,0,Maryland,BERLIN,Y,N,Jumbo,120,360,240,2387.72,"2,387.72",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,387.72",61,12,2/1/12,3/1/12,5,2,5,2.25,10.25,57,58,N,0
Innit Mortgage,Primary,1,80,797163,540000,545000,0,No Insurance,N,720,No Income Verifier,Y,5 Year ARM,Purchase,Planned unit developments,1,432000,432000,92508,0,1/19/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,California,RIVERSIDE,Y,N,Jumbo,120,360,240,1575,"1,575.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,575.00",61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
Innit Mortgage,Primary,1,73.45,797171,0,885000,0,No Insurance,N,716,Full Documentation,N,5 Year ARM,Cash-out Refinance,Single Family Residence,1,650000,650000,95409,0,1/11/07,3/1/07,2/1/37,5/1/07,6.125,0.25,0.0105,0,California,SANTA ROSA,Y,N,Jumbo,120,360,240,3317.71,"3,317.71",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,317.71",61,12,2/1/12,3/1/12,5,2,5,2.25,11.13,57,58,N,0
Innit Mortgage,Primary,1,80,797174,639900,640000,0,No Insurance,N,789,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,511920,511920,98038,0,1/10/07,3/1/07,2/1/37,5/1/07,4.375,0.25,0.0105,0,Washington,MAPLE VALLEY,Y,N,Jumbo,120,360,240,1866.38,"1,866.38",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,866.38",61,12,2/1/12,3/1/12,5,2,5,2.25,9.38,57,58,N,0
Innit Mortgage,Secondary,1,80,797179,637000,650000,0,No Insurance,N,789,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,509600,509600,77554,0,1/17/07,3/1/07,2/1/37,5/1/07,6.375,0.25,0.0105,0,Texas,GALVESTON,Y,N,Jumbo,120,360,240,2707.25,"2,707.25",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,707.25",61,12,2/1/12,3/1/12,5,2,5,2.25,11.38,57,58,N,0
Innit Mortgage,Secondary,1,40.5,768908,0,1400000,0,No Insurance,N,678,No Income Verifier,Y,5 Year ARM,Rate-Term Refinance,Single Family Residence,1,567000,567000,93430,0,12/28/06,2/1/07,1/1/37,5/1/07,6,0.25,0.0105,0,California,CAYUCOS,Y,N,Jumbo,120,360,240,2835,"2,835.00",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,835.00",61,12,1/1/12,2/1/12,5,2,5,2.25,11,56,57,N,0
Innit Mortgage,Primary,1,80,768932,531916,532000,0,No Insurance,N,719,Full Documentation,N,5 Year ARM,Purchase,Condo,1,425412,425532,98011,0,12/20/06,2/1/07,1/1/37,5/1/07,5.5,0.25,0.0105,0,Washington,BOTHELL,Y,N,Jumbo,120,360,240,1950.36,"1,937.89",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,937.89",61,12,1/1/12,2/1/12,5,2,5,2.25,10.5,56,57,N,0
Innit Mortgage,Primary,1,80,770363,805506,806000,0,No Insurance,N,680,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,644400,644400,85249,0,12/6/06,2/1/07,1/1/37,5/1/07,6.25,0.25,0.0105,0,Arizona,CHANDLER,Y,N,Jumbo,120,360,240,3356.25,"3,356.25",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,356.25",61,12,1/1/12,2/1/12,5,2,5,2.25,11.25,56,57,N,0
Innit Mortgage,Secondary,1,80,772569,737000,900000,0,No Insurance,N,775,Full Documentation,N,5 Year ARM,Purchase,Condo,1,589596.68,589600,19939,0,12/28/06,2/1/07,1/1/37,5/1/07,5.75,0.25,0.0105,0,Delaware,DAGSBORO,Y,N,Jumbo,120,360,240,2825.17,"2,825.15",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,825.15",61,12,1/1/12,2/1/12,5,2,5,2.25,10.75,56,57,N,0
Innit Mortgage,Primary,1,80,772574,561975,562000,0,No Insurance,N,786,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,449577.27,449580,92223,0,12/14/06,2/1/07,1/1/37,5/1/07,4.375,0.25,0.0105,0,California,BEAUMONT,Y,N,Jumbo,120,360,240,1639.09,"1,639.04",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,639.04",61,12,1/1/12,2/1/12,5,2,5,2.25,9.38,56,57,N,0
Innit Mortgage,Primary,1,80,773330,550990,575000,0,No Insurance,N,765,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,440792,440792,92508,0,12/14/06,2/1/07,1/1/37,5/1/07,4.375,0.25,0.0105,0,California,RIVERSIDE,Y,N,Jumbo,120,360,240,1607.05,"1,607.05",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"1,607.05",61,12,1/1/12,2/1/12,5,2,5,2.25,9.38,56,57,N,0
Innit Mortgage,Primary,1,80,797882,650000,697000,0,No Insurance,N,737,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,520000,520000,6001,0,1/19/07,3/1/07,2/1/37,5/1/07,6,0.25,0.0105,0,Connecticut,AVON,Y,N,Jumbo,120,360,240,2600,"2,597.88",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,597.88",61,12,2/1/12,3/1/12,5,2,5,2.25,11,57,58,N,0
Innit Mortgage,Primary,1,80,799275,783610,800000,0,No Insurance,N,688,Full Documentation,N,5 Year ARM,Purchase,Single Family Residence,1,626887.21,626888,92336,0,1/11/07,3/1/07,2/1/37,5/1/07,6.25,0.25,0.0105,0,California,FONTANA,Y,N,Jumbo,120,360,240,3265.04,"3,265.03",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"3,265.03",61,12,2/1/12,3/1/12,5,2,5,2.25,11.25,57,58,N,0
Innit Mortgage,Primary,1,66.81,799310,793297,875000,0,No Insurance,N,689,Full Documentation,N,5 Year ARM,Purchase,Planned unit developments,1,530000,530000,34120,0,1/12/07,3/1/07,2/1/37,5/1/07,5.875,0.25,0.0105,0,Florida,NAPLES,Y,N,Jumbo,120,360,240,2594.79,"2,594.79",0,0,0,0,1st Lien,Caned,Libor - 1 Year,60,12,"2,594.79",61,12,2/1/12,3/1/12,5,2,5,2.25,10.88,57,58,N,0
